City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,kemijarvi,66.7131,27.4306,258.15,97,95,1.89,FI,1702254818
131,vallenar,-28.5708,-70.7581,289.59,61,0,1.77,CL,1702254675
132,beolgyo,34.8449,127.3429,286.43,92,100,4.32,KR,1702254819
133,leninskiy,54.2781,37.4558,265.29,94,100,4.68,RU,1702254819
134,nago,26.5881,127.9761,297.62,72,7,3.55,JP,1702254819
135,kuvandyk,51.4781,57.3552,253.3,87,7,5.07,RU,1702254819
136,krutinka,56.0055,71.5113,243.39,97,100,4.54,RU,1702254819
137,soledade,-28.8183,-52.5103,287.85,98,18,1.07,BR,1702254819
138,vytegra,61.0064,36.4481,261.68,90,100,4.92,RU,1702254820
139,greeneville,36.1632,-82.831,277.92,97,100,2.57,US,1702254591
140,flin flon,54.7682,-101.865,264.06,92,100,4.63,CA,1702254820
141,praia da vitoria,38.7333,-27.0667,290.79,82,0,6.12,PT,1702254594
142,ilulissat,69.2167,-51.1,271.16,74,100,6.17,GL,1702254820
143,walvis bay,-22.9575,14.5053,289.87,77,47,3.6,NA,1702254820
144,acarau,-2.8856,-40.12,299.92,76,100,6.97,BR,1702254820
145,howrah,22.5892,88.3103,288.15,88,0,0.0,IN,1702254821
146,kodiak,57.79,-152.4072,278.88,87,100,8.75,US,1702254761
147,pike road,32.2843,-86.103,284.35,58,99,5.86,US,1702254588
148,gejiu,23.306,103.1635,284.44,78,1,1.31,CN,1702254821
149,beau vallon,-20.4189,57.6953,298.28,83,40,2.57,MU,1702254821
150,vernon,50.2581,-119.2691,277.76,91,100,2.57,CA,1702254364
151,slave lake,55.2834,-114.769,273.14,69,100,7.2,CA,1702254821
152,port mathurin,-19.6833,63.4167,299.21,76,100,3.69,MU,1702254821
153,tazovsky,67.4667,78.7,248.08,97,100,4.69,RU,1702254822
154,kish,26.5578,54.0194,295.3,64,0,0.0,IR,1702254822
155,horta,38.5333,-28.6333,290.38,74,100,8.49,PT,1702254822
156,maricopa,33.0581,-112.0476,293.65,17,0,2.57,US,1702254575
157,guerrero negro,27.9769,-114.0611,293.13,39,0,3.56,MX,1702254822
158,san-pedro,4.7485,-6.6363,299.45,83,4,2.12,CI,1702254822
159,saint-francois,46.4154,3.9054,286.84,84,100,2.57,FR,1702254822
160,bowen,-20.0167,148.2333,298.02,74,100,11.35,AU,1702254823
161,las toscas,-28.3529,-59.258,293.24,73,0,3.16,AR,1702254823
162,tolanaro,-25.0319,46.9987,298.19,94,20,7.2,MG,1702254823
163,hammerfest,70.6634,23.6821,269.4,68,20,2.57,NO,1702254823
164,warnbro,-32.3361,115.7486,296.02,43,0,1.34,AU,1702254823
165,korla,41.7597,86.1469,268.84,63,13,0.85,CN,1702254823
166,ta`u,-14.2336,-169.5144,298.16,92,100,7.89,AS,1702254823
167,greymouth,-42.4667,171.2,288.01,59,10,4.65,NZ,1702254823
168,katsuura,35.1333,140.3,286.16,79,100,2.22,JP,1702254823
169,kavaratti,10.5669,72.642,301.71,72,100,2.81,IN,1702254824
170,smithers,54.7804,-127.1743,268.33,93,75,1.03,CA,1702254824
171,hawaiian paradise park,19.5933,-154.9731,298.72,96,100,1.54,US,1702254824
172,kalajoki,64.25,23.95,263.66,97,91,2.28,FI,1702254824
173,lompoc,34.6391,-120.4579,292.47,49,0,2.57,US,1702254669
174,zeya,53.75,127.2667,247.31,76,5,2.31,RU,1702254824
175,tailai,46.3833,123.4,255.14,67,9,0.72,CN,1702254824
176,zhangjiakou,40.81,114.8794,266.85,91,95,0.85,CN,1702254824
177,arvayheer,46.2639,102.775,257.26,85,100,0.65,MN,1702254824
178,tromso,69.6496,18.957,270.16,63,75,7.2,NO,1702254824
179,guarapari,-20.6667,-40.4975,297.53,87,82,0.77,BR,1702254732
180,djelfa,34.6728,3.263,283.7,55,5,2.89,DZ,1702254825
181,coquimbo,-29.9533,-71.3436,290.0,77,0,2.57,CL,1702254703
182,kabansk,52.0486,106.6528,249.61,90,18,2.05,RU,1702254825
183,girvan,55.2426,-4.8555,276.15,90,87,3.76,GB,1702254825
184,aitape,-3.1374,142.3475,302.79,70,89,1.94,PG,1702254825
185,touba,8.2833,-7.6833,295.46,27,15,1.1,CI,1702254825
186,kailua-kona,19.6406,-155.9956,300.92,80,20,3.09,US,1702254777
187,vorgashor,67.5833,63.95,248.2,100,100,3.55,RU,1702254825
188,la ronge,55.1001,-105.2842,269.29,74,100,3.6,CA,1702254825
189,roma,43.2128,-75.4557,278.05,97,100,2.06,US,1702254825
190,fort bragg,35.139,-79.006,292.49,93,100,3.6,US,1702254825
191,altai,46.3722,96.2583,257.67,72,49,3.37,MN,1702254826
192,mount isa,-20.7333,139.5,300.02,47,5,6.17,AU,1702254826
193,shuangyang,43.5242,125.6736,259.53,39,100,4.92,CN,1702254826
194,senador jose porfirio,-2.5908,-51.9542,297.53,91,81,1.33,BR,1702254826
195,frontera,26.9333,-101.45,287.01,39,0,4.12,MX,1702254826
196,arish,31.1316,33.7984,291.32,45,2,1.11,EG,1702254826
197,seaside,36.6111,-121.8516,291.4,61,0,2.06,US,1702254730
198,haiku-pauwela,20.9219,-156.3051,304.16,51,40,7.2,US,1702254826
199,ust-nera,64.5667,143.2,252.39,98,100,3.92,RU,1702254636
200,ust'-kalmanka,52.1207,83.305,252.25,94,84,2.85,RU,1702254826
201,san ramon de la nueva oran,-23.1322,-64.326,295.61,96,100,1.49,AR,1702254638
202,kajiado,-1.8524,36.7768,287.82,91,29,4.02,KE,1702254827
203,kodinsk,58.6881,99.1844,240.06,100,23,0.21,RU,1702254827
204,mount gambier,-37.8333,140.7667,288.55,93,100,5.78,AU,1702254688
205,howard springs,-12.497,131.047,303.7,91,12,2.32,AU,1702254827
206,cabedelo,-6.9811,-34.8339,299.52,66,99,3.72,BR,1702254827
207,agat village,13.3886,144.6585,303.21,78,75,6.17,GU,1702254827
208,lazaro cardenas,17.9583,-102.2,299.6,70,100,0.37,MX,1702254827
209,namie,37.4833,141.0,285.36,67,100,3.34,JP,1702254827
210,rosarito,32.3333,-117.0333,295.74,41,41,2.64,MX,1702254608
211,coxen hole,16.3244,-86.5366,300.75,83,20,3.09,HN,1702254669
212,nuku'alofa,-21.1333,-175.2,300.34,65,40,3.09,TO,1702254827
213,nelspruit,-25.4745,30.9703,293.27,98,100,0.92,ZA,1702254828
214,polyarnyy,69.1989,33.4478,260.14,89,83,7.3,RU,1702254828
215,medyn',54.9692,35.8586,266.34,94,96,4.02,RU,1702254828
216,port saint john's,-31.6229,29.5448,291.26,86,100,0.73,ZA,1702254828
217,chanika,-5.4167,38.0167,294.14,94,100,0.58,TZ,1702254828
